GHSL_fid,GHSL_val,total_building_area,error_percentage
1,192182,71834.689,167.53369809953517
2,225600,167311.772,34.83809136872927
3,217097,220742.885,1.651643268139768
4,205794,159786.888,28.79279556405153
5,225121,184785.861,21.828043975723876
6,59064,63581.714,7.105366804046836
7,292,754.307,61.28897120138087
8,137653,188829.52,27.10197007332328
9,227800,386885.102,41.11946962486036
10,278163,449752.7,38.15201109409682
11,258243,413793.953,37.59140313005009
12,233953,446457.571,47.59793198803207
13,125540,149705.026,16.141759996755226
14,64685,47328.549,36.67226519029773
15,132085,85253.654,54.93177571016488
16,224779,182630.509,23.07855967263389
17,237838,241105.983,1.3554134822112678
18,228575,207311.593,10.256738030082094
19,268567,253325.46,6.016584357529641
20,51730,31566.12,63.878234005319634
21,23296,19198.277000000002,21.34422271331952
22,215345,297387.716,27.58779585905963
23,239829,308361.056,22.224614511632748
24,242658,363776.547,33.29476515153134
25,239067,316591.315,24.487189422742063
26,125530,153267.745,18.097574933329906
27,16907,10891.118,55.23658819966876
28,187078,219874.271,14.915920289736858
29,184829,170712.262,8.269316939869272
30,197024,174885.273,12.659000166354783
31,185588,170834.849,8.635914209752375
32,188471,175267.321,7.533451715166003
33,209535,217586.421,3.7003324761704697
34,4284,412.866,937.6247983607274
35,23149,8092.888,186.04127475877587
36,248164,303020.662,18.103274422917078
37,256630,345287.216,25.67636793132822
38,246286,338109.025,27.15781544133583
39,238947,249821.799,4.353022451815744
40,79205,86471.839,8.403705858504996
41,26710,20807.172,28.36919885124226
42,217732,231961.917,6.134591912343951
43,245739,218293.325,12.5728420692662
44,159344,130322.223,22.269246435429512
45,196504,164682.276,19.323101898348785
46,244958,230262.173,6.3822150240890805
47,85637,76968.19,11.262847677722442
49,62664,78919.924,20.597997534817697
50,250658,292483.178,14.300028564377817
51,242695,294345.798,17.547659368998367
52,242299,293917.41,17.56221586193209
53,228266,230889.106,1.1360891145726035
54,88885,68833.96800000001,29.12955998701105
55,52455,42860.374,22.385772928626324
56,262392,275931.195,4.906728650234711
57,240476,176103.124,36.55407952899233
58,192207,122052.076,57.47950079931454
59,268298,240281.102,11.660050568604428
60,201262,205190.433,1.9145302939148192
61,65067,62536.735,4.046045896064129
63,102811,117771.801,12.703211526840796
64,235719,314947.473,25.156091028550655
65,271561,336178.323,19.221145023083473
66,211265,259523.707,18.59510545601138
67,210665,196689.258,7.105493275082668
68,41154,20044.464,105.31354692248193
69,147882,147638.228,0.16511441738517563
70,231900,242469.817,4.35922999851153
71,220498,175049.596,25.963158463958987
72,104609,64181.861,62.98841817628193
73,119541,62672.207,90.7400516468169
74,153958,126856.631,21.36377798019877
75,25923,25765.759000000002,0.6102711742355355
76,7360,5468.546,34.58787765523047
77,177814,246663.571,27.91233854309196
78,194378,293031.433,33.666501914147894
79,169729,177283.208,4.261096177817366
80,161863,144985.89800000002,11.64051278973351
81,110801,74166.505,49.39493238895374
82,33608,27368.157,22.799646318895352
83,245008,240480.65,1.8826254835888068
84,217440,228152.713,4.6954133742867175
85,122912,114240.583,7.590487348965999
86,36198,14235.27,154.28390188594946
87,1165,169.493,587.3440201070251
88,36740,41009.926,10.411932954963147
90,6940,6329.042,9.653246099488669
91,126439,193954.376,34.80992663965468
92,93245,135201.375,31.032506141302186
93,52304,46129.337999999996,13.385542190091703
94,107781,139711.998,22.85487177701087
95,143573,129819.355,10.594448724537266
96,130498,50272.771,159.5798827162322
97,220190,188901.264,16.563539775996418
98,259318,257803.356,0.5875191167022668
99,76664,53717.4,42.717257350504674
100,50650,31960.708999999995,58.47583356176488
101,3494,2251.687,55.17254396370367
102,21290,18614.331,14.374242082619043
104,7420,7744.117,4.185331910661993
105,18395,13578.142,35.47508930161432
106,19624,20145.575999999997,2.5890349325330653
107,214109,206625.422,3.6218089369467856
108,184671,233203.244,20.81113588625723
109,165463,153004.491,8.142577331275845
110,224654,194459.372,15.527473779972917
111,197552,207160.172,4.638040173088866
112,260087,258607.752,0.5720045082020558
114,14062,12336.847,13.983743171979036
117,57156,36376.072,57.12526630143023
118,39523,28211.248,40.09660260333042
119,160412,103987.101,54.26144056078649
120,267070,237134.036,12.624068862050663
121,259498,267386.615,2.9502654798184236
122,239962,294221.855,18.4418166352734
123,233879,196485.502,19.031174116856718
124,236129,214083.642,10.297544358853914
125,257684,223260.046,15.41877045031156
127,17037,12104.174,40.753098889688786
128,198378,165866.9,19.60071599577734
129,192105,171900.077,11.75387664311518
130,268429,200561.161,33.83897393773065
131,258887,193785.416,33.594676701573874
132,272292,261405.256,4.164699733504978
133,249945,238244.014,4.911345222717749
134,238831,239332.026,0.20934348334978475
135,242261,242066.972,0.08015467719404162
